VALEUR,ozias,betulien,achior,judith,misael,abra,holoferne,vagao,assyrien
Fréquences (scènes),0.3333333333333333,0.1111111111111111,0.2777777777777778,0.4166666666666667,0.4444444444444444,0.19444444444444445,0.25,0.08333333333333333,0.08333333333333333
Fréquences(répliques),0.10563836681788723,0.020738820479585224,0.11276733635774465,0.2339598185353208,0.23201555411535968,0.0797148412184057,0.16655865197666883,0.018794556059624108,0.029812054439403757
Confrontation,0.15178571428571427,0.0625,0.15178571428571427,0.16071428571428573,0.20535714285714285,0.10714285714285714,0.09821428571428571,0.026785714285714284,0.03571428571428571
Déviations,ozias,betulien,achior,judith,misael,abra,holoferne,vagao,assyrien
ozias,16.0,5.333333333333335,2.1333333333333333,1.8,1.020833333333333,0.04761904761904766,3.0,1.0,1.0
betulien,5.333333333333335,28.444444444444443,0.01111111111111112,1.6666666666666667,0.3402777777777777,0.06349206349206349,1.0,0.3333333333333333,0.3333333333333333
achior,2.1333333333333337,0.01111111111111112,18.77777777777778,0.3266666666666668,0.06944444444444439,0.0015873015873015888,2.5,0.8333333333333333,0.8333333333333333
judith,1.8,1.6666666666666665,0.3266666666666668,12.25,0.06666666666666655,0.0023809523809523894,0.15,0.05,1.25
misael,1.020833333333333,0.3402777777777777,0.06944444444444439,0.06666666666666672,11.111111111111112,0.25396825396825395,0.25,1.3333333333333333,0.0833333333333333
abra,0.04761904761904754,0.06349206349206356,0.0015873015873015758,0.002380952380952364,0.25396825396825423,23.361111111111114,1.75,0.5833333333333333,0.5833333333333333
holoferne,3.0,1.0,2.5,0.15,0.25,1.75,20.25,2.0833333333333335,6.75
vagao,1.0,0.3333333333333333,0.8333333333333334,0.05,1.3333333333333333,0.5833333333333334,2.0833333333333335,30.25,0.25
assyrien,1.0,0.3333333333333333,0.8333333333333334,1.25,0.0833333333333333,0.5833333333333334,6.75,0.25,30.25
Successions,ozias,betulien,achior,judith,misael,abra,holoferne,vagao,assyrien
ozias,0.11428571428571428,0.2,0.34285714285714286,0.17142857142857143,0.11428571428571428,0.05714285714285714,0.0,0.0,0.0
betulien,0.75,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.0
achior,0.4666666666666667,0.0,0.0,0.16666666666666666,0.3333333333333333,0.03333333333333333,0.0,0.0,0.0
judith,0.1016949152542373,0.0,0.06779661016949153,0.0,0.4067796610169492,0.13559322033898305,0.2711864406779661,0.01694915254237288,0.0
misael,0.09230769230769231,0.015384615384615385,0.2,0.4,0.046153846153846156,0.13846153846153847,0.09230769230769231,0.0,0.015384615384615385
abra,0.0,0.0,0.047619047619047616,0.2857142857142857,0.5714285714285714,0.0,0.09523809523809523,0.0,0.0
holoferne,0.0,0.0,0.0,0.45714285714285713,0.2571428571428571,0.0,0.05714285714285714,0.14285714285714285,0.08571428571428572
vagao,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.8333333333333334,0.0,0.0
assyrien,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
