VALEUR,tite,vitelle,tibere,tullie,brute,julie,livie,junie,marcellin,marcelle
Fréquences (scènes),0.6521739130434783,0.21739130434782608,0.5217391304347826,0.5217391304347826,0.30434782608695654,0.08695652173913043,0.08695652173913043,0.391304347826087,0.13043478260869565,0.08695652173913043
Fréquences(répliques),0.21011673151750973,0.11543450064850844,0.19390402075226978,0.17380025940337224,0.14332036316472113,0.0019455252918287938,0.014915693904020753,0.07328145265888457,0.019455252918287938,0.05382619974059663
Confrontation,0.20253164556962025,0.08860759493670886,0.17721518987341772,0.17088607594936708,0.10126582278481013,0.0379746835443038,0.02531645569620253,0.12658227848101267,0.05063291139240506,0.0189873417721519
Déviations,tite,vitelle,tibere,tullie,brute,julie,livie,junie,marcellin,marcelle
tite,2.782608695652174,0.9275362318840582,1.2871980676328503,0.08719806763285026,0.06997929606625256,0.07101449275362319,1.3043478260869565,1.4028985507246379,0.46763285024154594,1.3043478260869565
vitelle,0.9275362318840576,14.08695652173913,0.7420289855072463,0.05869565217391303,0.1503105590062111,0.43478260869565216,0.43478260869565216,1.9565217391304348,0.6521739130434783,0.43478260869565216
tibere,1.2871980676328503,0.7420289855072463,5.2608695652173925,0.25392512077294666,0.11645962732919261,0.0018115942028985484,1.0434782608695652,0.6123188405797104,0.20410628019323662,1.0434782608695652
tullie,0.08719806763285026,0.05869565217391303,0.25392512077294666,5.2608695652173925,0.7474120082815736,0.8768115942028987,0.0018115942028985484,0.103059581320451,0.12077294685990349,0.0018115942028985484
brute,0.06997929606625256,0.1503105590062113,0.11645962732919247,0.7474120082815734,11.130434782608695,0.6086956521739131,0.2515527950310558,0.024844720496894377,0.008281573498964814,0.6086956521739131
julie,0.07101449275362319,0.43478260869565216,0.0018115942028985484,0.8768115942028987,0.6086956521739131,19.17391304347826,3.9239130434782608,0.06038647342995167,0.2608695652173913,0.17391304347826086
livie,1.3043478260869565,0.43478260869565216,1.0434782608695652,0.0018115942028985484,0.2515527950310558,3.9239130434782608,19.17391304347826,0.06038647342995167,0.2608695652173913,0.17391304347826086
junie,1.4028985507246379,1.9565217391304348,0.6123188405797099,0.10305958132045076,0.024844720496894377,0.060386473429951744,0.060386473429951744,8.52173913043478,2.840579710144928,1.8937198067632854
marcellin,0.46763285024154594,0.6521739130434783,0.20410628019323662,0.12077294685990349,0.008281573498964792,0.2608695652173913,0.2608695652173913,2.840579710144927,17.39130434782609,0.2608695652173913
marcelle,1.3043478260869565,0.43478260869565216,1.0434782608695652,0.0018115942028985484,0.6086956521739131,0.17391304347826086,0.17391304347826086,1.8937198067632852,0.2608695652173913,19.17391304347826
Successions,tite,vitelle,tibere,tullie,brute,julie,livie,junie,marcellin,marcelle
tite,0.0,0.06666666666666667,0.4666666666666667,0.3,0.1,0.0,0.0,0.06666666666666667,0.0,0.0
vitelle,0.5833333333333334,0.0,0.08333333333333333,0.25,0.08333333333333333,0.0,0.0,0.0,0.0,0.0
tibere,0.5869565217391305,0.06521739130434782,0.0,0.15217391304347827,0.08695652173913043,0.0,0.0,0.10869565217391304,0.0,0.0
tullie,0.391304347826087,0.043478260869565216,0.17391304347826086,0.0,0.043478260869565216,0.043478260869565216,0.06521739130434782,0.17391304347826086,0.043478260869565216,0.021739130434782608
brute,0.21052631578947367,0.15789473684210525,0.21052631578947367,0.05263157894736842,0.05263157894736842,0.0,0.05263157894736842,0.21052631578947367,0.05263157894736842,0.0
julie,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
livie,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.25,0.0,0.0
junie,0.125,0.0,0.15625,0.28125,0.125,0.03125,0.0,0.0,0.125,0.15625
marcellin,0.14285714285714285,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.42857142857142855,0.0,0.14285714285714285
marcelle,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.8571428571428571,0.0,0.0
